Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-01-01,UA,Ukraine,EURO,9432,1064479,147,18680
2021-01-02,UA,Ukraine,EURO,5038,1069517,51,18731
2021-01-03,UA,Ukraine,EURO,4576,1074093,123,18854
2021-01-04,UA,Ukraine,EURO,4158,1078251,73,18927
2021-01-05,UA,Ukraine,EURO,5334,1083585,202,19129
2021-01-06,UA,Ukraine,EURO,6911,1090496,228,19357
2021-01-07,UA,Ukraine,EURO,8997,1099493,148,19505
2021-01-08,UA,Ukraine,EURO,5676,1105169,83,19588
2021-01-09,UA,Ukraine,EURO,4846,1110015,80,19668
2021-01-10,UA,Ukraine,EURO,5011,1115026,99,19767
2021-01-11,UA,Ukraine,EURO,4288,1119314,68,19835
2021-01-12,UA,Ukraine,EURO,5116,1124430,184,20019
2021-01-13,UA,Ukraine,EURO,6409,1130839,195,20214
2021-01-14,UA,Ukraine,EURO,7925,1138764,162,20376
2021-01-15,UA,Ukraine,EURO,8199,1146963,166,20542
2021-01-16,UA,Ukraine,EURO,7729,1154692,144,20686
2021-01-17,UA,Ukraine,EURO,5990,1160682,116,20802
2021-01-18,UA,Ukraine,EURO,3034,1163716,67,20869
2021-01-19,UA,Ukraine,EURO,3939,1167655,177,21046
2021-01-20,UA,Ukraine,EURO,4383,1172038,212,21258
2021-01-21,UA,Ukraine,EURO,5583,1177621,241,21499
2021-01-22,UA,Ukraine,EURO,5348,1182969,163,21662
2021-01-23,UA,Ukraine,EURO,4928,1187897,116,21778
2021-01-24,UA,Ukraine,EURO,3915,1191812,83,21861
2021-01-25,UA,Ukraine,EURO,2516,1194328,63,21924
2021-01-26,UA,Ukraine,EURO,2779,1197107,133,22057
2021-01-27,UA,Ukraine,EURO,3776,1200883,145,22202
2021-01-28,UA,Ukraine,EURO,5529,1206412,149,22351
2021-01-29,UA,Ukraine,EURO,5181,1211593,128,22479
2021-01-30,UA,Ukraine,EURO,4685,1216278,149,22628
2021-01-31,UA,Ukraine,EURO,3177,1219455,79,22707
2021-02-01,UA,Ukraine,EURO,2030,1221485,61,22768
2021-02-02,UA,Ukraine,EURO,2394,1223879,156,22924
2021-02-03,UA,Ukraine,EURO,3285,1227164,165,23089
2021-02-04,UA,Ukraine,EURO,5082,1232246,140,23229
2021-02-05,UA,Ukraine,EURO,4923,1237169,158,23387
2021-02-06,UA,Ukraine,EURO,4310,1241479,129,23516
2021-02-07,UA,Ukraine,EURO,3370,1244849,81,23597
2021-02-08,UA,Ukraine,EURO,2141,1246990,47,23644
2021-02-09,UA,Ukraine,EURO,2656,1249646,127,23771
2021-02-10,UA,Ukraine,EURO,3409,1253055,163,23934
2021-02-11,UA,Ukraine,EURO,5039,1258094,124,24058
2021-02-12,UA,Ukraine,EURO,4773,1262867,116,24174
2021-02-13,UA,Ukraine,EURO,5182,1268049,111,24285
2021-02-14,UA,Ukraine,EURO,3094,1271143,45,24330
2021-02-15,UA,Ukraine,EURO,2332,1273475,62,24392
2021-02-16,UA,Ukraine,EURO,3143,1276618,150,24542
2021-02-17,UA,Ukraine,EURO,4286,1280904,147,24689
2021-02-18,UA,Ukraine,EURO,6237,1287141,163,24852
2021-02-19,UA,Ukraine,EURO,6531,1293672,120,24972
2021-02-20,UA,Ukraine,EURO,6295,1299967,73,25045
2021-02-21,UA,Ukraine,EURO,4489,1304456,58,25103
2021-02-22,UA,Ukraine,EURO,3206,1307662,53,25156
2021-02-23,UA,Ukraine,EURO,4182,1311844,153,25309
2021-02-24,UA,Ukraine,EURO,5850,1317694,152,25461
2021-02-25,UA,Ukraine,EURO,8147,1325841,135,25596
2021-02-26,UA,Ukraine,EURO,8003,1333844,146,25742
2021-02-27,UA,Ukraine,EURO,8172,1342016,151,25893
2021-02-28,UA,Ukraine,EURO,5833,1347849,89,25982
2021-03-01,UA,Ukraine,EURO,4285,1352134,68,26050
2021-03-02,UA,Ukraine,EURO,5336,1357470,162,26212
2021-03-03,UA,Ukraine,EURO,7235,1364705,185,26397
2021-03-04,UA,Ukraine,EURO,10057,1374762,194,26591
2021-03-05,UA,Ukraine,EURO,10155,1384917,172,26763
2021-03-06,UA,Ukraine,EURO,9144,1394061,156,26919
2021-03-07,UA,Ukraine,EURO,7167,1401228,103,27022
2021-03-08,UA,Ukraine,EURO,5572,1406800,106,27128
2021-03-09,UA,Ukraine,EURO,3261,1410061,76,27204
2021-03-10,UA,Ukraine,EURO,6377,1416438,219,27423
2021-03-11,UA,Ukraine,EURO,9084,1425522,262,27685
2021-03-12,UA,Ukraine,EURO,12946,1438468,230,27915
2021-03-13,UA,Ukraine,EURO,13276,1451744,243,28158
2021-03-14,UA,Ukraine,EURO,9012,1460756,145,28303
2021-03-15,UA,Ukraine,EURO,6792,1467548,130,28433
2021-03-16,UA,Ukraine,EURO,9642,1477190,264,28697
2021-03-17,UA,Ukraine,EURO,11833,1489023,289,28986
2021-03-18,UA,Ukraine,EURO,15053,1504076,267,29253
2021-03-19,UA,Ukraine,EURO,15850,1519926,262,29515
2021-03-20,UA,Ukraine,EURO,15292,1535218,260,29775
2021-03-21,UA,Ukraine,EURO,11145,1546363,166,29941
2021-03-22,UA,Ukraine,EURO,7893,1554256,157,30098
2021-03-23,UA,Ukraine,EURO,11476,1565732,333,30431
2021-03-24,UA,Ukraine,EURO,14174,1579906,342,30773
2021-03-25,UA,Ukraine,EURO,16669,1596575,362,31135
2021-03-26,UA,Ukraine,EURO,18132,1614707,326,31461
2021-03-27,UA,Ukraine,EURO,17424,1632131,290,31751
2021-03-28,UA,Ukraine,EURO,11932,1644063,203,31954
2021-03-29,UA,Ukraine,EURO,8346,1652409,178,32132
2021-03-30,UA,Ukraine,EURO,10533,1662942,286,32418
2021-03-31,UA,Ukraine,EURO,11226,1674168,407,32825
2021-04-01,UA,Ukraine,EURO,17569,1691737,421,33246
2021-04-02,UA,Ukraine,EURO,19893,1711630,433,33679
2021-04-03,UA,Ukraine,EURO,20341,1731971,396,34075
2021-04-04,UA,Ukraine,EURO,13738,1745709,258,34333
2021-04-05,UA,Ukraine,EURO,10179,1755888,254,34587
2021-04-06,UA,Ukraine,EURO,13276,1769164,430,35017
2021-04-07,UA,Ukraine,EURO,15415,1784579,481,35498
2021-04-08,UA,Ukraine,EURO,19419,1803998,464,35962
2021-04-09,UA,Ukraine,EURO,19676,1823674,419,36381
2021-04-10,UA,Ukraine,EURO,17463,1841137,398,36779
2021-04-11,UA,Ukraine,EURO,12112,1853249,235,37014